aid,cid,app_date,period,installment,n_installments,loan_amount,branch,aid
ins202410310001,0000000367,2024-10-31,202410,271,12,3252,1,ins202410310001
ins202410310002,0000000368,2024-10-31,202410,199,24,4776,2,ins202410310002
ins202411010001,0000000369,2024-11-01,202411,141,24,3384,3,ins202411010001
ins202411010002,0000000370,2024-11-01,202411,296,12,3552,3,ins202411010002
ins202411020001,0000000371,2024-11-02,202411,162,12,1944,3,ins202411020001
ins202411020002,0000000372,2024-11-02,202411,201,12,2412,2,ins202411020002
ins202411030001,0000000373,2024-11-03,202411,92,12,1104,2,ins202411030001
ins202411030002,0000000374,2024-11-03,202411,227,24,5448,3,ins202411030002
ins202411040001,0000000375,2024-11-04,202411,325,24,7800,1,ins202411040001
ins202411040002,0000000376,2024-11-04,202411,118,12,1416,1,ins202411040002
ins202411050001,0000000377,2024-11-05,202411,503,24,12072,2,ins202411050001
ins202411050002,0000000378,2024-11-05,202411,280,36,10080,3,ins202411050002
ins202411060001,0000000379,2024-11-06,202411,117,36,4212,3,ins202411060001
ins202411060002,0000000380,2024-11-06,202411,122,24,2928,2,ins202411060002
ins202411070001,0000000381,2024-11-07,202411,471,24,11304,1,ins202411070001
ins202411070002,0000000382,2024-11-07,202411,512,36,18432,1,ins202411070002
ins202411080001,0000000383,2024-11-08,202411,171,24,4104,2,ins202411080001
ins202411080002,0000000384,2024-11-08,202411,371,12,4452,2,ins202411080002
ins202411090001,0000000385,2024-11-09,202411,335,12,4020,4,ins202411090001
ins202411090002,0000000386,2024-11-09,202411,457,12,5484,3,ins202411090002
ins202411100001,0000000387,2024-11-10,202411,250,24,6000,3,ins202411100001
ins202411100002,0000000388,2024-11-10,202411,448,12,5376,3,ins202411100002
ins202411110001,0000000389,2024-11-11,202411,218,12,2616,2,ins202411110001
ins202411110002,0000000390,2024-11-11,202411,233,12,2796,3,ins202411110002
ins202411120001,0000000391,2024-11-12,202411,257,24,6168,4,ins202411120001
ins202411120002,0000000392,2024-11-12,202411,162,12,1944,1,ins202411120002
ins202411130001,0000000393,2024-11-13,202411,214,24,5136,3,ins202411130001
ins202411130002,0000000394,2024-11-13,202411,315,24,7560,1,ins202411130002
ins202411140001,0000000395,2024-11-14,202411,184,36,6624,3,ins202411140001
ins202411140002,0000000396,2024-11-14,202411,276,24,6624,4,ins202411140002
ins202411150001,0000000397,2024-11-15,202411,342,12,4104,1,ins202411150001
ins202411150002,0000000398,2024-11-15,202411,166,24,3984,2,ins202411150002
ins202411160001,0000000399,2024-11-16,202411,219,24,5256,3,ins202411160001
ins202411160002,0000000400,2024-11-16,202411,88,12,1056,2,ins202411160002
ins202411170001,0000000401,2024-11-17,202411,159,24,3816,3,ins202411170001
ins202411170002,0000000402,2024-11-17,202411,232,12,2784,3,ins202411170002
ins202411180001,0000000403,2024-11-18,202411,181,12,2172,3,ins202411180001
ins202411180002,0000000404,2024-11-18,202411,163,12,1956,2,ins202411180002
ins202411190001,0000000405,2024-11-19,202411,450,12,5400,1,ins202411190001
ins202411190002,0000000406,2024-11-19,202411,222,12,2664,3,ins202411190002
ins202411200001,0000000407,2024-11-20,202411,274,24,6576,2,ins202411200001
ins202411200002,0000000408,2024-11-20,202411,334,24,8016,2,ins202411200002
ins202411210001,0000000409,2024-11-21,202411,306,12,3672,2,ins202411210001
ins202411210002,0000000410,2024-11-21,202411,212,12,2544,3,ins202411210002
ins202411220001,0000000411,2024-11-22,202411,249,24,5976,3,ins202411220001
ins202411220002,0000000412,2024-11-22,202411,111,36,3996,3,ins202411220002
ins202411230001,0000000413,2024-11-23,202411,305,12,3660,2,ins202411230001
ins202411230002,0000000414,2024-11-23,202411,455,24,10920,2,ins202411230002
ins202411240001,0000000415,2024-11-24,202411,207,24,4968,2,ins202411240001
ins202411240002,0000000416,2024-11-24,202411,310,12,3720,4,ins202411240002
ins202411250001,0000000417,2024-11-25,202411,99,24,2376,2,ins202411250001
ins202411250002,0000000418,2024-11-25,202411,195,12,2340,3,ins202411250002
ins202411260001,0000000419,2024-11-26,202411,398,12,4776,4,ins202411260001
ins202411260002,0000000420,2024-11-26,202411,319,36,11484,2,ins202411260002
ins202411270001,0000000421,2024-11-27,202411,125,36,4500,2,ins202411270001
ins202411270002,0000000422,2024-11-27,202411,158,12,1896,2,ins202411270002
ins202411280001,0000000423,2024-11-28,202411,426,12,5112,2,ins202411280001
ins202411280002,0000000424,2024-11-28,202411,183,12,2196,4,ins202411280002
ins202411290001,0000000425,2024-11-29,202411,141,12,1692,2,ins202411290001
ins202411290002,0000000426,2024-11-29,202411,183,12,2196,2,ins202411290002
ins202411300001,0000000427,2024-11-30,202411,151,24,3624,3,ins202411300001
ins202411300002,0000000428,2024-11-30,202411,406,24,9744,2,ins202411300002
ins202412010001,0000000429,2024-12-01,202412,195,24,4680,4,ins202412010001
ins202412010002,0000000430,2024-12-01,202412,157,12,1884,3,ins202412010002
ins202412020001,0000000431,2024-12-02,202412,143,12,1716,2,ins202412020001
ins202412020002,0000000432,2024-12-02,202412,320,36,11520,4,ins202412020002
ins202412030001,0000000433,2024-12-03,202412,543,12,6516,4,ins202412030001
ins202412030002,0000000434,2024-12-03,202412,100,12,1200,2,ins202412030002
ins202412040001,0000000435,2024-12-04,202412,129,12,1548,3,ins202412040001
ins202412040002,0000000436,2024-12-04,202412,412,36,14832,4,ins202412040002
ins202412050001,0000000437,2024-12-05,202412,150,36,5400,2,ins202412050001
ins202412050002,0000000438,2024-12-05,202412,320,36,11520,3,ins202412050002
ins202412060001,0000000439,2024-12-06,202412,139,12,1668,4,ins202412060001
ins202412060002,0000000440,2024-12-06,202412,309,24,7416,3,ins202412060002
ins202412070001,0000000441,2024-12-07,202412,358,36,12888,2,ins202412070001
ins202412070002,0000000442,2024-12-07,202412,179,24,4296,3,ins202412070002
ins202412080001,0000000443,2024-12-08,202412,143,36,5148,4,ins202412080001
ins202412080002,0000000444,2024-12-08,202412,153,12,1836,3,ins202412080002
ins202412090001,0000000445,2024-12-09,202412,310,24,7440,4,ins202412090001
ins202412090002,0000000446,2024-12-09,202412,294,12,3528,3,ins202412090002
ins202412100001,0000000447,2024-12-10,202412,121,12,1452,2,ins202412100001
ins202412100002,0000000448,2024-12-10,202412,151,12,1812,3,ins202412100002
ins202412110001,0000000449,2024-12-11,202412,516,12,6192,1,ins202412110001
ins202412110002,0000000450,2024-12-11,202412,119,12,1428,3,ins202412110002
ins202412120001,0000000451,2024-12-12,202412,353,12,4236,3,ins202412120001
ins202412120002,0000000452,2024-12-12,202412,136,12,1632,3,ins202412120002
ins202412130001,0000000453,2024-12-13,202412,252,24,6048,2,ins202412130001
ins202412130002,0000000454,2024-12-13,202412,198,12,2376,2,ins202412130002
ins202412140001,0000000455,2024-12-14,202412,383,12,4596,2,ins202412140001
ins202412140002,0000000456,2024-12-14,202412,382,12,4584,2,ins202412140002
ins202412150001,0000000457,2024-12-15,202412,379,24,9096,4,ins202412150001
ins202412150002,0000000458,2024-12-15,202412,99,24,2376,2,ins202412150002
ins202412160001,0000000459,2024-12-16,202412,154,24,3696,3,ins202412160001
ins202412160002,0000000460,2024-12-16,202412,120,36,4320,2,ins202412160002
ins202412170001,0000000461,2024-12-17,202412,243,24,5832,3,ins202412170001
ins202412170002,0000000462,2024-12-17,202412,398,12,4776,3,ins202412170002
ins202412180001,0000000463,2024-12-18,202412,306,36,11016,2,ins202412180001
ins202412180002,0000000464,2024-12-18,202412,145,12,1740,4,ins202412180002
ins202412190001,0000000465,2024-12-19,202412,493,12,5916,1,ins202412190001
ins202412190002,0000000466,2024-12-19,202412,185,24,4440,2,ins202412190002
ins202412200001,0000000467,2024-12-20,202412,122,36,4392,4,ins202412200001
ins202412200002,0000000468,2024-12-20,202412,102,12,1224,4,ins202412200002
ins202412210001,0000000469,2024-12-21,202412,174,24,4176,4,ins202412210001
ins202412210002,0000000470,2024-12-21,202412,103,24,2472,3,ins202412210002
ins202412220001,0000000471,2024-12-22,202412,246,12,2952,2,ins202412220001
ins202412220002,0000000472,2024-12-22,202412,290,12,3480,1,ins202412220002
ins202412230001,0000000473,2024-12-23,202412,432,36,15552,4,ins202412230001
ins202412230002,0000000474,2024-12-23,202412,93,24,2232,3,ins202412230002
ins202412240001,0000000475,2024-12-24,202412,311,24,7464,2,ins202412240001
ins202412240002,0000000476,2024-12-24,202412,215,24,5160,2,ins202412240002
ins202412250001,0000000477,2024-12-25,202412,177,24,4248,2,ins202412250001
ins202412250002,0000000478,2024-12-25,202412,296,24,7104,4,ins202412250002
ins202412260001,0000000479,2024-12-26,202412,377,36,13572,1,ins202412260001
ins202412260002,0000000480,2024-12-26,202412,154,12,1848,4,ins202412260002
ins202412270001,0000000481,2024-12-27,202412,133,24,3192,3,ins202412270001
ins202412270002,0000000482,2024-12-27,202412,166,12,1992,4,ins202412270002
ins202412280001,0000000483,2024-12-28,202412,436,36,15696,4,ins202412280001
ins202412280002,0000000484,2024-12-28,202412,200,12,2400,2,ins202412280002
ins202412290001,0000000485,2024-12-29,202412,513,12,6156,3,ins202412290001
ins202412290002,0000000486,2024-12-29,202412,144,12,1728,3,ins202412290002
ins202412300001,0000000487,2024-12-30,202412,219,12,2628,1,ins202412300001
ins202412300002,0000000488,2024-12-30,202412,439,12,5268,2,ins202412300002
ins202412310001,0000000489,2024-12-31,202412,186,12,2232,1,ins202412310001
ins202412310002,0000000490,2024-12-31,202412,170,12,2040,1,ins202412310002
ins202501010001,0000000491,2025-01-01,202501,494,12,5928,3,ins202501010001
ins202501010002,0000000492,2025-01-01,202501,141,12,1692,3,ins202501010002
ins202501020001,0000000493,2025-01-02,202501,241,24,5784,2,ins202501020001
ins202501020002,0000000494,2025-01-02,202501,123,12,1476,2,ins202501020002
ins202501030001,0000000495,2025-01-03,202501,334,24,8016,3,ins202501030001
ins202501030002,0000000496,2025-01-03,202501,250,12,3000,3,ins202501030002
ins202501040001,0000000497,2025-01-04,202501,466,12,5592,3,ins202501040001
ins202501040002,0000000498,2025-01-04,202501,104,12,1248,3,ins202501040002
ins202501050001,0000000499,2025-01-05,202501,125,12,1500,3,ins202501050001
ins202501050002,0000000500,2025-01-05,202501,110,24,2640,1,ins202501050002
ins202501060001,0000000501,2025-01-06,202501,159,36,5724,2,ins202501060001
ins202501060002,0000000502,2025-01-06,202501,297,12,3564,4,ins202501060002
ins202501070001,0000000503,2025-01-07,202501,275,24,6600,2,ins202501070001
ins202501070002,0000000504,2025-01-07,202501,100,36,3600,2,ins202501070002
ins202501080001,0000000505,2025-01-08,202501,384,36,13824,2,ins202501080001
ins202501080002,0000000506,2025-01-08,202501,429,12,5148,3,ins202501080002
ins202501090001,0000000507,2025-01-09,202501,277,12,3324,3,ins202501090001
ins202501090002,0000000508,2025-01-09,202501,524,12,6288,3,ins202501090002
ins202501100001,0000000509,2025-01-10,202501,101,24,2424,2,ins202501100001
ins202501100002,0000000510,2025-01-10,202501,381,36,13716,2,ins202501100002
ins202501110001,0000000511,2025-01-11,202501,301,12,3612,3,ins202501110001
ins202501110002,0000000512,2025-01-11,202501,229,12,2748,2,ins202501110002
ins202501120001,0000000513,2025-01-12,202501,264,24,6336,3,ins202501120001
ins202501120002,0000000514,2025-01-12,202501,244,12,2928,3,ins202501120002
ins202501130001,0000000515,2025-01-13,202501,323,12,3876,2,ins202501130001
ins202501130002,0000000516,2025-01-13,202501,167,24,4008,2,ins202501130002
ins202501140001,0000000517,2025-01-14,202501,327,12,3924,2,ins202501140001
ins202501140002,0000000518,2025-01-14,202501,112,24,2688,3,ins202501140002
ins202501150001,0000000519,2025-01-15,202501,283,12,3396,2,ins202501150001
ins202501150002,0000000520,2025-01-15,202501,396,24,9504,2,ins202501150002
ins202501160001,0000000521,2025-01-16,202501,202,12,2424,1,ins202501160001
ins202501160002,0000000522,2025-01-16,202501,427,12,5124,3,ins202501160002
ins202501170001,0000000523,2025-01-17,202501,146,12,1752,2,ins202501170001
ins202501170002,0000000524,2025-01-17,202501,116,12,1392,4,ins202501170002
ins202501180001,0000000525,2025-01-18,202501,277,12,3324,2,ins202501180001
ins202501180002,0000000526,2025-01-18,202501,147,24,3528,3,ins202501180002
ins202501190001,0000000527,2025-01-19,202501,332,24,7968,1,ins202501190001
ins202501190002,0000000528,2025-01-19,202501,403,12,4836,3,ins202501190002
ins202501200001,0000000529,2025-01-20,202501,401,12,4812,2,ins202501200001
ins202501200002,0000000530,2025-01-20,202501,191,24,4584,3,ins202501200002
ins202501210001,0000000531,2025-01-21,202501,89,12,1068,2,ins202501210001
ins202501210002,0000000532,2025-01-21,202501,389,36,14004,3,ins202501210002
ins202501220001,0000000533,2025-01-22,202501,186,12,2232,4,ins202501220001
ins202501220002,0000000534,2025-01-22,202501,163,12,1956,3,ins202501220002
ins202501230001,0000000535,2025-01-23,202501,87,24,2088,3,ins202501230001
ins202501230002,0000000536,2025-01-23,202501,384,12,4608,3,ins202501230002
ins202501240001,0000000537,2025-01-24,202501,185,24,4440,4,ins202501240001
ins202501240002,0000000538,2025-01-24,202501,326,24,7824,3,ins202501240002
ins202501250001,0000000539,2025-01-25,202501,196,12,2352,1,ins202501250001
ins202501250002,0000000540,2025-01-25,202501,164,24,3936,3,ins202501250002
ins202501260001,0000000541,2025-01-26,202501,145,12,1740,4,ins202501260001
ins202501260002,0000000542,2025-01-26,202501,153,24,3672,2,ins202501260002
ins202501270001,0000000543,2025-01-27,202501,141,36,5076,3,ins202501270001
ins202501270002,0000000544,2025-01-27,202501,126,36,4536,3,ins202501270002
ins202501280001,0000000545,2025-01-28,202501,491,12,5892,2,ins202501280001
ins202501280002,0000000546,2025-01-28,202501,157,12,1884,1,ins202501280002
ins202501290001,0000000547,2025-01-29,202501,343,12,4116,2,ins202501290001
ins202501290002,0000000548,2025-01-29,202501,90,36,3240,2,ins202501290002
ins202501300001,0000000549,2025-01-30,202501,499,12,5988,3,ins202501300001
ins202501300002,0000000550,2025-01-30,202501,182,24,4368,3,ins202501300002
ins202501310001,0000000551,2025-01-31,202501,548,24,13152,2,ins202501310001
ins202501310002,0000000552,2025-01-31,202501,207,12,2484,2,ins202501310002
ins202502010001,0000000553,2025-02-01,202502,94,12,1128,2,ins202502010001
ins202502010002,0000000554,2025-02-01,202502,435,24,10440,3,ins202502010002
ins202502020001,0000000555,2025-02-02,202502,185,36,6660,2,ins202502020001
ins202502020002,0000000556,2025-02-02,202502,363,12,4356,1,ins202502020002
ins202502030001,0000000557,2025-02-03,202502,91,36,3276,2,ins202502030001
ins202502030002,0000000558,2025-02-03,202502,211,36,7596,4,ins202502030002
ins202502040001,0000000559,2025-02-04,202502,227,12,2724,1,ins202502040001
ins202502040002,0000000560,2025-02-04,202502,135,12,1620,1,ins202502040002
ins202502050001,0000000561,2025-02-05,202502,313,24,7512,2,ins202502050001
ins202502050002,0000000562,2025-02-05,202502,281,12,3372,3,ins202502050002
ins202502060001,0000000563,2025-02-06,202502,180,36,6480,3,ins202502060001
ins202502060002,0000000564,2025-02-06,202502,261,24,6264,3,ins202502060002
ins202502070001,0000000565,2025-02-07,202502,340,36,12240,3,ins202502070001
ins202502070002,0000000566,2025-02-07,202502,409,12,4908,2,ins202502070002
ins202502080001,0000000567,2025-02-08,202502,148,24,3552,3,ins202502080001
ins202502080002,0000000568,2025-02-08,202502,103,12,1236,3,ins202502080002
ins202502090001,0000000569,2025-02-09,202502,471,12,5652,1,ins202502090001
ins202502090002,0000000570,2025-02-09,202502,373,12,4476,3,ins202502090002
ins202502100001,0000000571,2025-02-10,202502,445,12,5340,3,ins202502100001
ins202502100002,0000000572,2025-02-10,202502,374,24,8976,1,ins202502100002
ins202502110001,0000000573,2025-02-11,202502,116,36,4176,2,ins202502110001
ins202502110002,0000000574,2025-02-11,202502,380,36,13680,1,ins202502110002
ins202502120001,0000000575,2025-02-12,202502,432,24,10368,3,ins202502120001
ins202502120002,0000000576,2025-02-12,202502,209,36,7524,4,ins202502120002
ins202502130001,0000000577,2025-02-13,202502,438,12,5256,3,ins202502130001
ins202502130002,0000000578,2025-02-13,202502,272,12,3264,3,ins202502130002
ins202502140001,0000000579,2025-02-14,202502,201,12,2412,4,ins202502140001
ins202502140002,0000000580,2025-02-14,202502,357,36,12852,1,ins202502140002
ins202502150001,0000000581,2025-02-15,202502,268,24,6432,4,ins202502150001
ins202502150002,0000000582,2025-02-15,202502,97,12,1164,1,ins202502150002
ins202502160001,0000000583,2025-02-16,202502,294,36,10584,2,ins202502160001
ins202502160002,0000000584,2025-02-16,202502,101,36,3636,2,ins202502160002
ins202502170001,0000000585,2025-02-17,202502,338,24,8112,1,ins202502170001
ins202502170002,0000000586,2025-02-17,202502,408,24,9792,2,ins202502170002
ins202502180001,0000000587,2025-02-18,202502,252,12,3024,3,ins202502180001
ins202502180002,0000000588,2025-02-18,202502,94,24,2256,2,ins202502180002
ins202502190001,0000000589,2025-02-19,202502,378,36,13608,3,ins202502190001
ins202502190002,0000000590,2025-02-19,202502,501,36,18036,2,ins202502190002
ins202502200001,0000000591,2025-02-20,202502,122,12,1464,3,ins202502200001
ins202502200002,0000000592,2025-02-20,202502,141,36,5076,1,ins202502200002
ins202502210001,0000000593,2025-02-21,202502,98,36,3528,4,ins202502210001
ins202502210002,0000000594,2025-02-21,202502,249,12,2988,2,ins202502210002
ins202502220001,0000000595,2025-02-22,202502,260,36,9360,1,ins202502220001
ins202502220002,0000000596,2025-02-22,202502,239,12,2868,3,ins202502220002
ins202502230001,0000000597,2025-02-23,202502,188,24,4512,3,ins202502230001
ins202502230002,0000000598,2025-02-23,202502,369,12,4428,3,ins202502230002
ins202502240001,0000000599,2025-02-24,202502,154,12,1848,1,ins202502240001
ins202502240002,0000000600,2025-02-24,202502,105,12,1260,4,ins202502240002
ins202502250001,0000000601,2025-02-25,202502,401,12,4812,2,ins202502250001
ins202502250002,0000000602,2025-02-25,202502,199,24,4776,1,ins202502250002
ins202502260001,0000000603,2025-02-26,202502,181,24,4344,1,ins202502260001
ins202502260002,0000000604,2025-02-26,202502,310,12,3720,2,ins202502260002
ins202502270001,0000000605,2025-02-27,202502,253,12,3036,1,ins202502270001
ins202502270002,0000000606,2025-02-27,202502,178,24,4272,2,ins202502270002
ins202502280001,0000000607,2025-02-28,202502,125,24,3000,1,ins202502280001
ins202502280002,0000000608,2025-02-28,202502,183,12,2196,2,ins202502280002
ins202503010001,0000000609,2025-03-01,202503,260,12,3120,2,ins202503010001
ins202503010002,0000000610,2025-03-01,202503,453,12,5436,3,ins202503010002
ins202503020001,0000000611,2025-03-02,202503,461,12,5532,2,ins202503020001
ins202503020002,0000000612,2025-03-02,202503,269,12,3228,1,ins202503020002
ins202503030001,0000000613,2025-03-03,202503,137,12,1644,2,ins202503030001
ins202503030002,0000000614,2025-03-03,202503,226,12,2712,3,ins202503030002
ins202503040001,0000000615,2025-03-04,202503,177,24,4248,3,ins202503040001
ins202503040002,0000000616,2025-03-04,202503,218,36,7848,3,ins202503040002
ins202503050001,0000000617,2025-03-05,202503,152,12,1824,4,ins202503050001
ins202503050002,0000000618,2025-03-05,202503,114,12,1368,1,ins202503050002
ins202503060001,0000000619,2025-03-06,202503,145,12,1740,2,ins202503060001
ins202503060002,0000000620,2025-03-06,202503,110,12,1320,2,ins202503060002
ins202503070001,0000000621,2025-03-07,202503,453,36,16308,4,ins202503070001
ins202503070002,0000000622,2025-03-07,202503,147,24,3528,1,ins202503070002
ins202503080001,0000000623,2025-03-08,202503,292,36,10512,4,ins202503080001
ins202503080002,0000000624,2025-03-08,202503,206,12,2472,3,ins202503080002
ins202503090001,0000000625,2025-03-09,202503,375,36,13500,2,ins202503090001
ins202503090002,0000000626,2025-03-09,202503,157,24,3768,2,ins202503090002
ins202503100001,0000000627,2025-03-10,202503,280,36,10080,4,ins202503100001
ins202503100002,0000000628,2025-03-10,202503,231,12,2772,2,ins202503100002
ins202503110001,0000000629,2025-03-11,202503,152,12,1824,3,ins202503110001
ins202503110002,0000000630,2025-03-11,202503,531,24,12744,2,ins202503110002
ins202503120001,0000000631,2025-03-12,202503,300,24,7200,3,ins202503120001
ins202503120002,0000000632,2025-03-12,202503,333,24,7992,4,ins202503120002
ins202503130001,0000000633,2025-03-13,202503,224,12,2688,4,ins202503130001
ins202503130002,0000000634,2025-03-13,202503,141,24,3384,2,ins202503130002
ins202503140001,0000000635,2025-03-14,202503,225,24,5400,3,ins202503140001
ins202503140002,0000000636,2025-03-14,202503,180,24,4320,4,ins202503140002
ins202503150001,0000000637,2025-03-15,202503,263,24,6312,3,ins202503150001
ins202503150002,0000000638,2025-03-15,202503,341,12,4092,1,ins202503150002
ins202503160001,0000000639,2025-03-16,202503,316,24,7584,3,ins202503160001
ins202503160002,0000000640,2025-03-16,202503,208,12,2496,4,ins202503160002
ins202503170001,0000000641,2025-03-17,202503,414,24,9936,3,ins202503170001
ins202503170002,0000000642,2025-03-17,202503,148,36,5328,3,ins202503170002
ins202503180001,0000000643,2025-03-18,202503,368,24,8832,4,ins202503180001
ins202503180002,0000000644,2025-03-18,202503,271,36,9756,3,ins202503180002
ins202503190001,0000000645,2025-03-19,202503,309,12,3708,1,ins202503190001
ins202503190002,0000000646,2025-03-19,202503,134,24,3216,2,ins202503190002
ins202503200001,0000000647,2025-03-20,202503,148,12,1776,2,ins202503200001
ins202503200002,0000000648,2025-03-20,202503,159,12,1908,4,ins202503200002
ins202503210001,0000000649,2025-03-21,202503,170,36,6120,3,ins202503210001
ins202503210002,0000000650,2025-03-21,202503,172,12,2064,1,ins202503210002
ins202503220001,0000000651,2025-03-22,202503,113,12,1356,2,ins202503220001
ins202503220002,0000000652,2025-03-22,202503,279,24,6696,2,ins202503220002
ins202503230001,0000000653,2025-03-23,202503,172,12,2064,3,ins202503230001
ins202503230002,0000000654,2025-03-23,202503,105,12,1260,2,ins202503230002
ins202503240001,0000000655,2025-03-24,202503,245,12,2940,2,ins202503240001
ins202503240002,0000000656,2025-03-24,202503,323,12,3876,2,ins202503240002
ins202503250001,0000000657,2025-03-25,202503,181,12,2172,2,ins202503250001
ins202503250002,0000000658,2025-03-25,202503,355,12,4260,3,ins202503250002
ins202503260001,0000000659,2025-03-26,202503,92,12,1104,2,ins202503260001
ins202503260002,0000000660,2025-03-26,202503,134,24,3216,4,ins202503260002
ins202503270001,0000000661,2025-03-27,202503,207,12,2484,3,ins202503270001
ins202503270002,0000000662,2025-03-27,202503,162,12,1944,4,ins202503270002
ins202503280001,0000000663,2025-03-28,202503,130,12,1560,3,ins202503280001
ins202503280002,0000000664,2025-03-28,202503,250,12,3000,4,ins202503280002
ins202503290001,0000000665,2025-03-29,202503,282,12,3384,3,ins202503290001
ins202503290002,0000000666,2025-03-29,202503,289,12,3468,3,ins202503290002
ins202503300001,0000000667,2025-03-30,202503,248,12,2976,3,ins202503300001
ins202503300002,0000000668,2025-03-30,202503,152,36,5472,2,ins202503300002
ins202503310001,0000000669,2025-03-31,202503,199,12,2388,1,ins202503310001
ins202503310002,0000000670,2025-03-31,202503,293,12,3516,2,ins202503310002
ins202504010001,0000000671,2025-04-01,202504,283,12,3396,2,ins202504010001
ins202504010002,0000000672,2025-04-01,202504,108,12,1296,2,ins202504010002
ins202504020001,0000000673,2025-04-02,202504,332,36,11952,2,ins202504020001
ins202504020002,0000000674,2025-04-02,202504,333,24,7992,3,ins202504020002
ins202504030001,0000000675,2025-04-03,202504,369,12,4428,1,ins202504030001
ins202504030002,0000000676,2025-04-03,202504,183,36,6588,3,ins202504030002
ins202504040001,0000000677,2025-04-04,202504,265,12,3180,2,ins202504040001
ins202504040002,0000000678,2025-04-04,202504,122,24,2928,3,ins202504040002
ins202504050001,0000000679,2025-04-05,202504,174,12,2088,3,ins202504050001
ins202504050002,0000000680,2025-04-05,202504,284,12,3408,2,ins202504050002
ins202504060001,0000000681,2025-04-06,202504,169,24,4056,3,ins202504060001
ins202504060002,0000000682,2025-04-06,202504,159,24,3816,2,ins202504060002
ins202504070001,0000000683,2025-04-07,202504,310,12,3720,3,ins202504070001
ins202504070002,0000000684,2025-04-07,202504,102,12,1224,3,ins202504070002
ins202504080001,0000000685,2025-04-08,202504,329,12,3948,2,ins202504080001
ins202504080002,0000000686,2025-04-08,202504,280,12,3360,1,ins202504080002
ins202504090001,0000000687,2025-04-09,202504,183,12,2196,2,ins202504090001
ins202504090002,0000000688,2025-04-09,202504,192,12,2304,1,ins202504090002
ins202504100001,0000000689,2025-04-10,202504,287,24,6888,4,ins202504100001
ins202504100002,0000000690,2025-04-10,202504,135,24,3240,2,ins202504100002
ins202504110001,0000000691,2025-04-11,202504,313,36,11268,2,ins202504110001
ins202504110002,0000000692,2025-04-11,202504,114,12,1368,4,ins202504110002
ins202504120001,0000000693,2025-04-12,202504,147,24,3528,2,ins202504120001
ins202504120002,0000000694,2025-04-12,202504,122,12,1464,2,ins202504120002
ins202504130001,0000000695,2025-04-13,202504,424,24,10176,3,ins202504130001
ins202504130002,0000000696,2025-04-13,202504,283,12,3396,4,ins202504130002
ins202504140001,0000000697,2025-04-14,202504,234,12,2808,2,ins202504140001
ins202504140002,0000000698,2025-04-14,202504,297,12,3564,3,ins202504140002
ins202504150001,0000000699,2025-04-15,202504,301,24,7224,1,ins202504150001
ins202504150002,0000000700,2025-04-15,202504,308,24,7392,1,ins202504150002
ins202504160001,0000000701,2025-04-16,202504,224,12,2688,3,ins202504160001
ins202504160002,0000000702,2025-04-16,202504,479,12,5748,4,ins202504160002
ins202504170001,0000000703,2025-04-17,202504,149,12,1788,3,ins202504170001
ins202504170002,0000000704,2025-04-17,202504,446,12,5352,2,ins202504170002
ins202504180001,0000000705,2025-04-18,202504,103,36,3708,4,ins202504180001
ins202504180002,0000000706,2025-04-18,202504,307,36,11052,4,ins202504180002
ins202504190001,0000000707,2025-04-19,202504,226,12,2712,3,ins202504190001
ins202504190002,0000000708,2025-04-19,202504,156,12,1872,2,ins202504190002
ins202504200001,0000000709,2025-04-20,202504,108,36,3888,4,ins202504200001
ins202504200002,0000000710,2025-04-20,202504,293,12,3516,3,ins202504200002
ins202504210001,0000000711,2025-04-21,202504,113,12,1356,3,ins202504210001
ins202504210002,0000000712,2025-04-21,202504,208,12,2496,1,ins202504210002
ins202504220001,0000000713,2025-04-22,202504,377,36,13572,3,ins202504220001
ins202504220002,0000000714,2025-04-22,202504,185,12,2220,3,ins202504220002
ins202504230001,0000000715,2025-04-23,202504,190,12,2280,2,ins202504230001
ins202504230002,0000000716,2025-04-23,202504,359,12,4308,4,ins202504230002
ins202504240001,0000000717,2025-04-24,202504,90,12,1080,2,ins202504240001
ins202504240002,0000000718,2025-04-24,202504,353,12,4236,3,ins202504240002
ins202504250001,0000000719,2025-04-25,202504,231,12,2772,4,ins202504250001
ins202504250002,0000000720,2025-04-25,202504,169,12,2028,4,ins202504250002
ins202504260001,0000000721,2025-04-26,202504,224,24,5376,2,ins202504260001
ins202504260002,0000000722,2025-04-26,202504,129,12,1548,3,ins202504260002
ins202504270001,0000000723,2025-04-27,202504,130,24,3120,3,ins202504270001
ins202504270002,0000000724,2025-04-27,202504,165,12,1980,2,ins202504270002
ins202504280001,0000000725,2025-04-28,202504,414,12,4968,4,ins202504280001
ins202504280002,0000000726,2025-04-28,202504,151,12,1812,4,ins202504280002
ins202504290001,0000000727,2025-04-29,202504,300,12,3600,2,ins202504290001
ins202504290002,0000000728,2025-04-29,202504,332,12,3984,4,ins202504290002
ins202504300001,0000000729,2025-04-30,202504,161,36,5796,3,ins202504300001
ins202504300002,0000000730,2025-04-30,202504,205,24,4920,2,ins202504300002
ins202505010001,0000000731,2025-05-01,202505,364,12,4368,1,ins202505010001
ins202505010002,0000000732,2025-05-01,202505,160,12,1920,1,ins202505010002
ins202505020001,0000000733,2025-05-02,202505,145,12,1740,2,ins202505020001
